y,x,street_count,highway,ref,geometry
37.6194356,126.9198257,3,,,POINT (126.9198257 37.6194356)
37.6146622,126.9166337,4,,,POINT (126.9166337 37.6146622)
37.6177557,126.9186937,4,,,POINT (126.9186937 37.6177557)
37.6150568,126.9249859,3,,,POINT (126.9249859 37.6150568)
37.6140467,126.9197669,4,,,POINT (126.9197669 37.6140467)
37.6140466,126.9200946,3,,,POINT (126.9200946 37.6140466)
37.6145723,126.9309841,4,,,POINT (126.9309841 37.6145723)
37.6163134,126.931262,3,,,POINT (126.931262 37.6163134)
37.618162,126.9319473,4,,,POINT (126.9319473 37.618162)
37.612434,126.9319501,4,,,POINT (126.9319501 37.612434)
37.5011442,127.0526662,4,,,POINT (127.0526662 37.5011442)
37.4968938,127.0546996,4,,,POINT (127.0546996 37.4968938)
37.4982374,127.0588777,4,,,POINT (127.0588777 37.4982374)
37.4995317,127.0582218,4,,,POINT (127.0582218 37.4995317)
37.5024598,127.0567001,4,,,POINT (127.0567001 37.5024598)
37.5001783,127.0601547,3,,,POINT (127.0601547 37.5001783)
37.4991101,127.0569369,4,,,POINT (127.0569369 37.4991101)
37.4981775,127.0540753,4,,,POINT (127.0540753 37.4981775)
37.5013443,127.0595294,4,,,POINT (127.0595294 37.5013443)
37.5002957,127.0563369,3,,,POINT (127.0563369 37.5002957)
37.556104,126.8989548,4,,,POINT (126.8989548 37.556104)
37.556588,126.8986437,4,,,POINT (126.8986437 37.556588)
37.5580555,126.8985116,4,,,POINT (126.8985116 37.5580555)
37.562023,126.9012636,3,,,POINT (126.9012636 37.562023)
37.5577629,126.9042761,4,,,POINT (126.9042761 37.5577629)
37.561049,126.8988261,3,,,POINT (126.8988261 37.561049)
37.5544295,126.9024099,3,,,POINT (126.9024099 37.5544295)
37.560349,126.8971983,3,,,POINT (126.8971983 37.560349)
37.5743235,126.9580225,3,traffic_signals,,POINT (126.9580225 37.5743235)
37.612343,127.0302882,2,,,POINT (127.0302882 37.612343)
37.5227014,126.905115,4,,,POINT (126.905115 37.5227014)
37.5268405,126.9325083,3,,,POINT (126.9325083 37.5268405)
37.5004967,127.052971,4,,,POINT (127.052971 37.5004967)
37.4979076,127.0532378,3,,,POINT (127.0532378 37.4979076)
37.5002226,127.0521354,3,,,POINT (127.0521354 37.5002226)
37.5020015,127.0552753,4,,,POINT (127.0552753 37.5020015)
37.497417,127.0563167,4,,,POINT (127.0563167 37.497417)
37.5615274,126.9000431,3,,,POINT (126.9000431 37.5615274)
37.5594226,126.9015425,4,,,POINT (126.9015425 37.5594226)
37.5624188,126.9025772,3,,,POINT (126.9025772 37.5624188)
37.5604973,126.9039408,4,,,POINT (126.9039408 37.5604973)
37.5597262,126.8997581,4,,,POINT (126.8997581 37.5597262)
37.5602525,126.9009518,4,,,POINT (126.9009518 37.5602525)
37.5607875,126.9021359,4,,,POINT (126.9021359 37.5607875)
37.5613309,126.9033413,4,,,POINT (126.9033413 37.5613309)
37.5616779,126.9041125,4,,,POINT (126.9041125 37.5616779)
37.5620328,126.9047326,4,,,POINT (126.9047326 37.5620328)
37.5596089,126.8977362,3,,,POINT (126.8977362 37.5596089)
37.560326,126.8993295,4,,,POINT (126.8993295 37.560326)
37.5613923,126.9017034,4,,,POINT (126.9017034 37.5613923)
37.5619362,126.9029161,3,,,POINT (126.9029161 37.5619362)
37.5608952,126.9048244,4,,,POINT (126.9048244 37.5608952)
37.5578962,126.9075422,4,,,POINT (126.9075422 37.5578962)
37.5588589,126.9051044,3,,,POINT (126.9051044 37.5588589)
37.5583662,126.9054519,3,,,POINT (126.9054519 37.5583662)
37.5580395,126.9055688,4,,,POINT (126.9055688 37.5580395)
37.55836,126.9071179,4,,,POINT (126.9071179 37.55836)
37.5572013,126.901554,4,,,POINT (126.901554 37.5572013)
37.5569092,126.900164,4,,,POINT (126.900164 37.5569092)
37.5583454,126.8991477,3,,,POINT (126.8991477 37.5583454)
37.5563945,126.9003339,4,,,POINT (126.9003339 37.5563945)
37.5575064,126.8997436,3,,,POINT (126.8997436 37.5575064)
37.5580496,126.9009559,4,,,POINT (126.9009559 37.5580496)
37.5585737,126.9021402,3,,,POINT (126.9021402 37.5585737)
37.5591114,126.9033223,4,,,POINT (126.9033223 37.5591114)
37.5589939,126.9065419,4,,,POINT (126.9065419 37.5589939)
37.5601909,126.9054568,4,,,POINT (126.9054568 37.5601909)
37.5596562,126.9045384,4,,,POINT (126.9045384 37.5596562)
37.6223053,126.9323475,3,,,POINT (126.9323475 37.6223053)
37.6227044,126.9337184,3,,,POINT (126.9337184 37.6227044)
37.6226808,126.9344148,3,,,POINT (126.9344148 37.6226808)
37.6230087,126.936063,1,,,POINT (126.936063 37.6230087)
37.6224152,126.9317062,3,,,POINT (126.9317062 37.6224152)
37.6189823,126.9263291,1,,,POINT (126.9263291 37.6189823)
37.6193479,126.9254877,4,,,POINT (126.9254877 37.6193479)
37.6189122,126.9246784,3,,,POINT (126.9246784 37.6189122)
37.6199925,126.9244597,3,,,POINT (126.9244597 37.6199925)
37.6204617,126.9287469,1,,,POINT (126.9287469 37.6204617)
